Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
ivacaftor,KALYDECO,12/20/2006,Treatment of patients with cystic fibrosis,Designated/Approved,,KALYDECO is indicated for the treatment of cystic fibrosis (CF) in patients age 4 months and older who have one mutation in the CFTR gene that is responsive to ivacaftor potentiation based on clinical and/or in vitro assay data,09/24/2020,09/24/2027,treatment of cystic fibrosis (CF) in patients age 4 months to less than 6 months who have one mutation in the CFTR gene that is responsive to ivacaftor potentiation based on clinical and/or in vitro assay data,"Vertex Pharmaceuticals, Inc.",50 Northern Avenue,,Boston,Massachusetts,2210,United States,228306
ivosidenib,TIBSOVO,6/09/15,Treatment of acute myeloid leukemia (AML),Designated/Approved,,TIBSOVO is indicated for the treatment of adult patients with relapsed or refractory acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test.,07/20/2018,07/20/2025,Indicated for the treatment of adult patients with relapsed or refractory acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test,Servier Pharmaceuticals LLC,200 Pier Four Blvd,,Boston,Massachusetts,2210,United States,481515
ivosidenib,TIBSOVO,6/09/15,Treatment of acute myeloid leukemia (AML),Designated/Approved,,TIBSOVO is indicated for the treatment of newly-diagnosed acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test in adult patients who are >= 75 years old or who have comorbidities that preclude use of intensive induction chemotherapy.,5/02/19,5/02/26,TIBSOVO is indicated for the treatment of newly-diagnosed acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test in adult patients who are >= 75 years old or who have comorbidities that preclude use of intensive induction chemotherapy.,Servier Pharmaceuticals LLC,200 Pier Four Blvd,,Boston,Massachusetts,2210,United States,481515
ivosidenib,Tibsovo,04/26/2017,Treatment of cholangiocarcinoma,Designated/Approved,,"Treatment of adult patients with previously treated, locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test",08/25/2021,08/25/2028,"Treatment of adult patients with previously treated, locally advanced or metastatic cholangiocarcinoma with an isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test",Servier Pharmaceuticals LLC,200 Pier Four Blvd,,Boston,Massachusetts,2210,United States,562216
ixazomib citrate,Ninlaro,02/18/2011,Treatment of multiple myeloma,Designated/Approved,,Use in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received at least one prior therapy,11/20/2015,11/20/2022,Use in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received at least one prior therapy,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,330510
"Japanese encephalitis vaccine, inactivated, adsorbed",IXIARO,09/25/2012,Prevention of Japanese encephalitis virus in pediatric patients.,Designated/Approved,,IXIARO is a vaccine indicated for the prevention of disease caused by Japanese encephalitis virus (JEV). IXIARO is approved for use in individuals 2 months of age and older.,05/17/2013,05/17/2020,"To extend the age range to include infants, children, and adolescents 2 months to less than 17 years of age for active immunization for the prevention of disease caused by Japanese encephalitis virus.",Intercell AG,Campus Vienna Biocenter 3,A-1030,Vienna,,,Austria,376112
L-glutamine,Endari,8/01/01,Treatment of sickle cell disease,Designated/Approved,,To reduce the acute complications of sickle cell disease in adult and pediatric patients 5 years of age and older.,7/07/17,7/07/24,To reduce the acute complications of sickle cell disease in adult and pediatric patients 5 years of age and older.,"Emmaus Medical, Inc.","21250 Hawthorne Blvd., Suite 800",,Torrance,California,90503,United States,145901
Lamotrigine,Lamictal,08/23/1995,Treatment of Lennox-Gastaut syndrome.,Designated/Approved,,Adjunctive treatment of Lennox-Gastaut syndrome in pediatric and adult patients.,08/24/1998,08/24/2005,,Glaxo Wellcome Research and Development,5 Moore Drive,P.O. Box 13398,Research Triangle Park,North Carolina,27709,United States,91695
lanadelumab-flyo,Takhzyro,11/26/2013,Treatment of angioedema,Designated/Approved,,Prophylaxis to prevent attacks of hereditary angioedema (HAE) in patients 12 years and older,08/23/2018,08/23/2025,Prophylaxis to prevent attacks of hereditary angioedema (HAE) in patients 12 years and older,"Takeda Pharmaceuticals USA, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,397213
Lanreotide,Somatuline Depot,9/11/00,Treatment for acromegly,Designated/Approved,,Long-term treatment of acromegalic patients who have had an inadequate response to or cannot be treated with surgery and/or radiotherapy,08/30/2007,08/30/2014,,"IPSEN, Inc.",27 Maple Street,,Milford,Massachusetts,1757,United States,136300
lanreotide acetate,Somatuline Depot,08/25/2011,Treatment of neuroendocrine tumors,Designated/Approved,,"Treatment of patients with unresectable,well- or moderately-differentiated locally advanced or metastatic gastroenteropancreatic neuroendocrine tumors to improve progression-free survival",12/16/2014,12/16/2021,"Treatment of patients with unresectable,well- or moderately-differentiated locally advanced or metastatic gastroenteropancreatic neuroendocrine tumors to improve progression-free survival","Ipsen Biopharmaceuticals, Inc.",106 Allen Road,,Basking Ridge,New Jersey,7920,United States,347811
lanreotide acetate,,9/08/11,Treatment of carcinoid syndrome,Designated/Approved,,"treatment of adults with carcinoid syndrome; when used, it reduces the frequency of short-acting somatostatin analog rescue therapy",09/15/2017,09/15/2024,"treatment of adults with carcinoid syndrome; when used, it reduces the frequency of short-acting somatostatin analog rescue therapy","Ipsen Biopharmaceuticals, Inc.",106 Allen Road,,Basking Ridge,New Jersey,7920,United States,347111
laronidase,Aldurazyme,09/24/1997,Treatment of patients with mucopolysaccharidosis-I.,Designated/Approved,,Treatment for patients with Hurler and Hurler-Scheie forms of Mucopolysaccharidosis I (MPS I) and for patients with the Scheie form who have moderate to severe symptoms,04/30/2003,04/30/2010,,"BioMarin Pharmaceutical, Inc.",105 Digital Drive,,Novato,California,94949,United States,106097
larotrectinib,VITRAKVI,5/09/17,Treatment of solid tumors with NTRK-fusion proteins,Designated/Approved,,VITRAKVI is indicated for the treatment of adult and pediatric patients with solid tumors that have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation; are metastatic or where surgical resection is likely to result in severe morbidity; and have no satisfactory alternative treatments or that have progressed following treatment.,11/26/2018,11/26/2025,VITRAKVI is indicated for the treatment of adult and pediatric patients with solid tumors that have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation; are metastatic or where surgical resection is likely to result in severe morbidity; and have no satisfactory alternative treatments or that have progressed following treatment.,Bayer HealthCare Pharmaceuticals Inc.,100 Bayer Boulevard,,Whippany,New Jersey,7981,United States,578317
ledipasvir/sofosbuvir,Harvoni,10/12/16,Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients,Designated/Approved,,"HARVONI is indicated for the treatment of adults and pediatric patients 3 years of age and older with chronic hepatitis C virus (HCV) genotype 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis, genotype 1 infection with decompensated cirrhosis, for use in combination with ribavirin, and genotype 1 or 4 infection who are liver transplant recipients without cirrhosis or with compensated cirrhosis, for use in combination with ribavirin",08/28/2019,,,"Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,535916
ledipasvir/sofosbuvir,Harvoni,10/12/16,Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients,Designated/Approved,,"Treatment of pediatric patients 12 years of age and older or weighing at least 35 kg with chronic hepatitis C virus genotype 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis",4/07/17,4/07/24,"Treatment of pediatric patients 12 years of age and older or weighing at least 35 kg with chronic hepatitis C virus genotype 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis","Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,535916
ledipasvir/sofosbuvir,Harvoni,10/12/16,Treatment of chronic hepatitis C virus (HCV) infection in pediatric patients,Designated/Approved,,"HARVONI is indicated for the treatment of adults and pediatric patients 3 years of age and older with chronic hepatitis C virus (HCV) genotype 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis, genotype 1 infection with decompensated cirrhosis, for use in combination with ribavirin, and genotype 1 or 4 infection who are liver transplant recipients without cirrhosis or with compensated cirrhosis, for use in combination with ribavirin",08/28/2019,08/28/2026,"For treatment of pediatric patients between 3 years of age and 12 years of age or weighing 35 kg with chronic hepatitis C virus (HCV) genotype 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis; (2) treatment of pediatric patients 3 years of age and older with chronic HCV genotype 1 infection with decompensated cirrhosis, for use in combination with ribavirin; and (3) treatment of pediatric patients 3 years of age and older with chronic HCV genotype 1 or 4 infection who are","Gilead Sciences, Inc.",333 Lakeside Drive,,Foster City,California,94404,United States,535916
lenalidomide,Revlimid,04/27/2009,Treatment of mantle cell lymphoma,Designated/Approved,,"Treatment of mantle cell lymphoma whose disease has relapsed or progressed after two prior therapies, one of which included bortezomib.",6/05/13,6/05/20,"Treatment of mantle cell lymphoma whose disease has relapsed or progressed after two prior therapies, one of which included bortezomib.",Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,278809
lenalidomide,Revlimid,1/04/17,Treatment of splenic marginal zone lymphoma,Designated/Approved,,"REVLIMID in combination with a rituximab product, is indicated for the treatment of adult patients with previously treated marginal zone lymphoma (MZL).",05/28/2019,05/28/2026,In combination with a rituximab product for the treatment of adult patients with previously treated splenic marginal zone lymphoma,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,475915
lenalidomide,Revlimid,01/29/2004,Treatment of myelodysplastic syndromes,Designated/Approved,,Treatment of patients with transfusion dependant anemia due to low or intermediate-1 risk myelodysplastic syndromes associated with a deletion 5 q cytogenetic abnormality with or without additional cytogenetic abnormalities,12/27/2005,12/27/2012,,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,180303
lenalidomide,Revlimid,09/20/2001,Treatment of multiple myeloma,Designated/Approved,,For use in combination with dexamethasone for the treatment of multiple myeloma patients who have received at least one prior therapy,06/29/2006,06/29/2013,,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,147701
lenalidomide,Revlimid,09/17/2013,Treatment of follicular lymphoma,Designated/Approved,,"REVLIMID in combination with a rituximab product, is indicated for the treatment of adult patients with previously treated follicular lymphoma (FL).",05/28/2019,05/28/2026,In combination with a rituximab product for the treatment of adult patients with previously treated follicular lymphoma (FL).,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,390813
lenalidomide,Revlimid,09/20/2001,Treatment of multiple myeloma,Designated/Approved,,"Treatment of multiple myeloma (MM), as maintenance following autologous hematopoietic stem cell transplantation (auto-HSCT)",02/22/2017,02/22/2024,"Treatment of multiple myeloma (MM), as maintenance following autologous hematopoietic stem cell transplantation (auto-HSCT)",Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,147701
lenalidomide,Revlimid,04/29/2015,Treatment of extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue,Designated/Approved,,"REVLIMID in combination with a rituximab product, is indicated for the treatment of adult patients with previously treated marginal zone lymphoma (MZL).",05/28/2019,05/28/2026,In combination with a rituximab product for the treatment of adult patients with previously treated extranodal marginal zone lymphoma,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,476115
lenalidomide,Revlimid,09/20/2001,Treatment of multiple myeloma,Designated/Approved,,REVLIMID in combination with dexamethasone is indicated for the treatment of patients with multiple myeloma (MM).,02/17/2015,02/17/2022,For use in combination with dexamethasone for the treatment of patients with multiple myeloma who have not received at least one prior therapy (first-line therapy).,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,147701
lenalidomide,Revlimid,1/04/17,Treatment of nodal marginal zone lymphoma,Designated/Approved,,"REVLIMID in combination with a rituximab product, is indicated for the treatment of adult patients with previously treated marginal zone lymphoma (MZL).",05/28/2019,05/28/2026,In combination with a rituximab product for the treatment of adult patients with previously treated nodal marginal zone lymphoma,Celgene Corporation,86 Morris Avenue,,Summit,New Jersey,7901,United States,476015
lenvatinib,LENVIMA,03/27/2014,Treatment of hepatocellular carcinoma,Designated/Approved,,LENVIMA is indicated for the first-line treatment of patients with unresectable hepatocellular carcinoma (HCC),08/15/2018,08/15/2025,LENVIMA is indicated for the first-line treatment of patients with unresectable hepatocellular carcinoma (HCC),Eisai Inc.,200 Metro Blvd.,,Nutley,New Jersey,07110-6102,United States,423714
lenvatinib,Lenvima,12/27/2012,"Treatment of follicullar, medullary, anaplastic, and metastatic or locally advanced papillary thyroid cancer",Designated/Approved,,"Treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine refractory differentiated thyroid cancer",02/13/2015,02/13/2022,"Treatment of patients with locally recurrent or metastatic, progressive, radioactive iodine refractory differentiated thyroid cancer","Eisai, Inc.",200 Metro Blvd.,,Nutley,New Jersey,07110-6102,United States,378412
Lepirudin,Refluden,02/13/1997,Treatment of heparin-associated thrombocytopenia type II.,Designated/Approved,,For anticoagulation in patients with heparin-induced thrombocytopenia and associated thromboembolic disease in order to prevent further thromboembolic complications.,3/06/98,3/06/05,,Hoechst Marion Roussel,Frankfurt am Main,P.O. Box 1140,Marburg,,,Germany,102796
letermovir,PREVYMIS,12/12/11,Prevention of human cytomegalovirus viremia and disease in at risk populations,Designated/Approved,,Prophylaxis of cytomegalovirus (CMV) infection and disease in adult CMV-seropositive recipients [R+] of an allogeneic hematopoietic stem cell transplant (HSCT).,11/08/17,11/08/24,Prophylaxis of cytomegalovirus (CMV) infection and disease in adult CMV-seropositive recipients [R+] of an allogeneic hematopoietic stem cell transplant (HSCT).,Merck Sharpe & Dhome Corporation,"P. O. Box 1000, UG2D-68",,North Wales,Pennsylvania,19454,United States,340211
Leucovorin,Leucovorin calcium,12/08/86,For use in combination with 5-fluorouracil for the treatment of metastatic colorectal cancer.,Designated/Approved,,For use in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer.,12/12/91,12/12/98,,Immunex Corporation,51 University Street,,Seattle,Washington,98101,United States,16786
Leucovorin,Leucovorin calcium,08/17/1988,For rescue use after high dose methotrexate therapy in the treatment of osteosarcoma.,Designated/Approved,,,08/31/1988,08/31/1995,,Immunex Corporation,51 University Street,,Seattle,Washington,98101,United States,30588
Leuprolide acetate,Lupron Injection,07/25/1988,Treatment of central precocious puberty,Designated/Approved,,Treatment of children with central precocious puberty,04/16/1993,04/16/2000,,AbbVie Endocrine Inc.,1 North Waukegan Road,,North Chicago,Illinois,60064,United States,28688
Levocarnitine,Carnitor,07/26/1984,Treatment of primary and secondary carnitine deficiency of genetic origin.,Designated/Approved,,Treatment of primary systemic carnitine deficiency. (approved 12/27/85) Treatment of secondary carnitine deficiency. (approved 12/16/92),12/16/1992,12/16/1999,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd,Suite 500,Gaithersburg,Maryland,20878,United States,1584
Levocarnitine,Carnitor,02/28/1984,Treatment of genetic carnitine deficiency.,Designated/Approved,,,4/10/86,4/10/93,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd,Suite 500,Gaithersburg,Maryland,20878,United States,1384
Levocarnitine,Carnitor,9/06/88,Treatment of manifestations of carnitine deficiency in patients with end stage renal disease who require dialysis.,Designated/Approved,,Prevention and treatment of carnitine deficiency in patients with end stage renal disease who are undergoing dialysis.,12/15/1999,12/15/2006,,"Leadiant Biosciences, Inc.",9841 Washingtonian Blvd,Suite 500,Gaithersburg,Maryland,20878,United States,27888
levodopa and carbidopa,Duopa,01/18/2000,Treatment of late stage Parkinson's disease,Designated/Approved,,Treatment of motor flucuations in patients with advanced Parkinson's disease,1/09/15,1/09/22,Treatment of motor flucuations in patients with advanced Parkinson's disease,"AbbVie, Inc.",1 N. Waukegan Road,Building AP30-1,North Chicago,Illinois,60064,United States,129499
levoketoconazole,Recorlev,3/09/12,Treatment of endogenous Cushing's syndrome,Designated/Approved,,Treatment of endogenous hypercortisolemia in adult patients with Cushing's syndrome for whom surgery is not an option or has not been curative,12/30/2021,,,Strongbridge Dublin Limited,"Suite 206, Fitzwilliam Hall",,Dublin 2,,D02 T292,Ireland,364412
levoleucovorin,Fusilev,12/18/1990,For use in combination chemotherapy with the approved agent 5-fluorouracil in the palliative treatment of metastatic adenocarcinoma of the colon and rectum,Designated/Approved,,For use in combination chemotherapy with 5-fluorouracil in the palliative treatment of patients with advanced metastatic colorectal cancer,04/29/2011,04/29/2018,,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,8520,United States,48590
Levoleucovorin,Fusilev,8/01/91,For use in conjunction with high-dose methotrexate in the treatment of osteosarcoma.,Designated/Approved,,Levoleucovorin rescue is indicated after high-dose methotrexate therapy in osteosarcoma. Levoleucovorin is also indicated to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosage of folic acid antagonists,3/07/08,3/07/15,,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,8520,United States,48490
Levomethadyl acetate hydrochloride,Orlaam,01/24/1985,Treatment of heroin addicts suitable for maintenance on opiate agonists.,Designated/Approved,,For the management of opiate dependence.,7/09/93,7/09/00,,Biodevelopment Corporation,"8180 Greensboro Drive, Suite 1000",,McLean,Virginia,22102,United States,4784
Lidocaine patch 5%,Lidoderm Patch,10/24/1995,"For relief of allodynia (painful hypersensitivity), and chronic pain in postherpetic neuralgia.",Designated/Approved,,,03/19/1999,03/19/2006,,"Teikoku Pharma USA, Inc.",745-D Camden Ave.,,Campbell,California,95008,United States,92395
Liothyronine sodium injection,Triostat,07/30/1990,Treatment of myxedema coma/precoma.,Designated/Approved,,Treatment of myxedema coma/precoma.,12/31/1991,12/31/1998,,SmithKline Beecham Pharmaceuticals,One Franklin Plaza,P.O. Box 7929,Philadelphia,Pennsylvania,19101,United States,46090
liposomal amikacin,Arikayce,03/25/2013,Treatment of infections caused by non-tuberculous mycobacteria,Designated/Approved,,Treatment of Mycobacterium avium complex (MAC) lung disease as part of a combination antibacterial drug regimen in patients who do not achieve negative sputum cultures after a minimum of 6 consecutive months of a multidrug background regimen therapy,09/28/2018,09/28/2025,Treatment of Mycobacterium avium complex (MAC) lung disease as part of a combination antibacterial drug regimen in patients who do not achieve negative sputum cultures after a minimum of 6 consecutive months of a multidrug background regimen therapy,Insmed Incorporated,10 Finderne Avenue,Building 10,Bridgewater,New Jersey,8807,United States,342011
Liposomal amphotericin B,AmBisome,12/06/96,Treatment of visceral leishmaniasis.,Designated/Approved,,Treatment of visceral leishmaniasis.,8/11/97,8/11/04,,"Fujisawa USA, Inc.",3 Parkway North Center,,Deerfield,Illinois,60015,United States,99596
Liposomal amphotericin B,AmBisome,12/10/96,Treatment of cryptococcal meningitis.,Designated/Approved,,Treatment of disseminated cryptococcosis including meningitis.,8/11/97,8/11/04,,"Fujisawa USA, Inc.",3 Parkway North Center,,Deerfield,Illinois,60015,United States,99496
lisocabtagene maraleucel,Breyanzi,9/07/17,Treatment of follicular lymphoma (FL),Designated/Approved,,"treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B",2/05/21,2/05/28,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy; treatment of adult patients with relapsed or refractory primary mediastinal large B-cell lymphoma after two or more lines of systemic therapy; and treatment of adult patients with relapsed or refractory follicular lymphoma grade 3B after two or more lines of systemic therapy,"Juno Therapeutics, Inc.",400 Dexter Avenue N,,Seattle,Washington,98109,United States,600517
lisocabtagene maraleucel,Breyanzi,7/12/18,Treatment of primary mediastinal large B-cell lymphoma,Designated/Approved,,"treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B",2/05/21,2/05/28,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma) after two or more lines of systemic therapy; treatment of adult patients with relapsed or refractory primary mediastinal large B-cell lymphoma after two or more lines of systemic therapy; and treatment of adult patients with relapsed or refractory follicular lymphoma grade 3B after two or more lines of systemic therapy,"Juno Therapeutics, Inc.",400 Dexter Avenue N,,Seattle,Washington,98109,United States,644018
lisocabtagene maraleucel,Breyanzi,04/27/2016,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,"treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B",2/05/21,2/05/28,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy; treatment of adult patients with relapsed or refractory primary mediastinal large B-cell lymphoma after two or more lines of systemic therapy; and treatment of adult patients with relapsed or refractory follicular lymphoma grade 3B after two or more lines of systemic therapy,"Juno Therapeutics, Inc.",400 Dexter Avenue North,Suite 1200,Seattle,Washington,98109,United States,516115
Lodoxamide tromethamine,Alomide Ophthalmic Solution,10/16/1991,Treatment of vernal keratoconjunctivitis.,Designated/Approved,,"Treatment of ocular disorders referred to by the terms vernal keratoconjunctivitis, vernal conjunctivitis, vernal keratitis.",09/23/1993,09/23/2000,,"Alcon Laboratories, Inc.",6201 South Freeway,,Fort Worth,Texas,76134,United States,59791
lomitapide,Juxtapid,10/23/2007,Treatment of homozygous familial hypercholesterolemia,Designated/Approved,,"Adjunct to a low-fat diet and other lipid-lowering treatments, including LDL apheresis where available, to reduce low-density lipoprotein cholesterol (LDL-C), total cholesterol (TC), apolipoprotein B (apo B), and non-high-density lipoprotein cholesterol (non-HDL-C) in patients with homozygous familial hypercholesterolemia (HoFH).",12/21/2012,12/21/2019,,"Aegerion Pharmaceuticals, Inc.","101 Main St., Suite 1850",,Cambridge,Massachusetts,2142,United States,245907
lonafarnib,ZOKINVY,04/18/2011,Treatment of Hutchinson-Gilford progeria syndrome and progeroid laminopathies,Designated/Approved,,in patients 12 months of age and older with a body surface area (BSA) of 0.39 m2 and above (1) to reduce the risk of mortality in Hutchinson-Gilford Progeria Syndrome (HGPS); and (2) for the treatment of processing-deficient Progeroid Laminopathies with either heterozygous LMNA mutation with progerin-like protein accumulation or homozygous or compound heterozygous ZMPSTE24 mutations,11/20/2020,11/20/2027,in patients 12 months of age and older with a body surface area (BSA) of 0.39 m2 and above: (1) to reduce the risk of mortality in Hutchinson-Gilford Progeria Syndrome (HGPS); and (2) for the treatment of processing-deficient Progeroid Laminopathies with either heterozygous LMNA mutation with progerin-like protein accumulation or homozygous or compound heterozygous ZMPSTE24 mutations,"Eiger BioPharmaceuticals, Inc.",2155 Park Boulevard,,Palo Alto,California,94306,United States,333411
lonapegsomatropin-tcgd,Skytrofa,04/13/2020,Treatment of growth hormone deficiency,Designated/Approved,,Treatment of pediatric patients 1 year and older who weigh at least 11.5 kg and have growth failure due to inadequate secretion of endogenous growth hormone (GH),08/25/2021,,,Ascendis Pharma Endocrinology Division A/S,12 Tuborg Boulevard,,Hellerup,,,Denmark,654718
loncastuximab tesirine-lpyl,Zynlonta,6/08/17,Treatment of diffuse large B-cell lymphoma,Designated/Approved,,"treatment of adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, DLBCL arising from low grade lymphoma, and high-grade B-cell lymphoma",04/23/2021,04/23/2028,treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma after two or more lines of systemic therapy,ADC Therapeutics SA,"Route de la Corniche, 3B",,Epalinges,Vaud,,Switzerland,572716
lorlatinib,Lorbrena,06/23/2015,Treatment of anaplastic lymphoma kinase (ALK)-positive or ROS1-positive non-small cell lung cancer,Designated/Approved,,treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test.,3/03/21,3/03/28,"Treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test, excluding patients whose disease has progressed on crizotinib and at least one other ALK inhibitor; or alectinib or ceritinib as the first ALK inhibitor therapy for metastatic disease.","Pfizer, Inc.",235 East 42nd Street,,New York,New York,10017,United States,481015
Lorlatinib,LORBRENA,06/23/2015,Treatment of anaplastic lymphoma kinase (ALK)-positive or ROS1-positive non-small cell lung cancer,Designated/Approved,,LORBRENA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on crizotinib and at least one other ALK inhibitor for metastatic disease; or alectinib as the first ALK inhibitor therapy for metastatic disease; or ceritinib as the first ALK inhibitor therapy for metastatic disease.,11/02/18,11/02/25,LORBRENA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on crizotinib and at least one other ALK inhibitor for metastatic disease; or alectinib as the first ALK inhibitor therapy for metastatic disease; or ceritinib as the first ALK inhibitor therapy for metastatic disease.,"Pfizer, Inc.",235 East 42nd Street (M/S 219/9/30),,New York,New York,10017,United States,481015
lumacaftor/ivacaftor,Orkambi,06/30/2014,Treatment of cystic fibrosis,Designated/Approved,,Treatment of cystic fibrosis in patients age 12 years and older who are homozygous for F508del mutation in the CFTR gene,7/02/15,7/02/22,Treatment of cystic fibrosis in patients age 12 years and older who are homozygous for F508del mutation in the CFTR gene,Vertex Pharmaceuticals Inc.,50 Northern Avenue,,Boston,Massachusetts,2210,United States,434814
lumacaftor/ivacaftor,Orkambi,06/30/2014,Treatment of cystic fibrosis,Designated/Approved,,Treatment of cystic fibrosis (CF) in patients age 6 years and older who are homozygous for the F508del mutation in the CFTR gene,09/28/2016,09/28/2023,Treatment of cystic fibrosis (CF) in patients age 6-11 years old who are homozygous for the F508del mutation in the CFTR gene,Vertex Pharmaceuticals Inc.,50 Northern Avenue,,Boston,Massachusetts,2210,United States,434814
lumacaftor/ivacaftor,Orkambi,06/30/2014,Treatment of cystic fibrosis,Designated/Approved,,ORKAMBI is a combination of lumacaftor and ivacaftor indicated for the treatment of cystic fibrosis (CF) in patients age 2 years and older who are homozygous for the F508del mutation in the CFTR gene.,8/07/18,8/07/25,ORKAMBI (lumacaftor/ivacaftor) oral granules indicated for the treatment of cystic fibrosis (CF) in patients age 2 through 5 years old who are homozygous for the F508del mutation in the CFTR gene.,Vertex Pharmaceuticals Inc.,50 Northern Avenue,,Boston,Massachusetts,2210,United States,434814
lumasiran,Oxlumo,2/08/16,Treatment of primary hyperoxaluria type 1,Designated/Approved,,treatment of primary hyperoxaluria type 1 (PH1) to lower urinary oxalate levels in pediatric and adult patients,11/23/2020,11/23/2027,treatment of primary hyperoxaluria type 1 (PH1) to lower urinary oxalate levels in pediatric and adult patients,"Alnylam Pharmaceuticals, Inc.",300 Third Street,,Cambridge,Massachusetts,2142,United States,505315
